datetime,cpm,cps
 2019-07-31 18:36:15,16,1
 2019-07-31 18:36:15,18,2
 2019-07-31 18:36:16,18,0
 2019-07-31 18:36:18,18,0
 2019-07-31 18:36:19,18,0
 2019-07-31 18:36:20,18,0
 2019-07-31 18:36:21,19,1
 2019-07-31 18:36:22,19,0
 2019-07-31 18:36:22,19,0
 2019-07-31 18:36:23,19,0
 2019-07-31 18:36:25,20,1
 2019-07-31 18:36:26,20,0
 2019-07-31 18:36:27,20,0
 2019-07-31 18:36:28,21,1
 2019-07-31 18:36:29,21,0
 2019-07-31 18:36:30,22,1
 2019-07-31 18:36:30,22,0
 2019-07-31 18:36:32,22,0
 2019-07-31 18:36:33,22,0
 2019-07-31 18:36:34,22,0
 2019-07-31 18:36:35,22,0
 2019-07-31 18:36:36,22,0
 2019-07-31 18:36:36,22,0
 2019-07-31 18:36:37,22,0
 2019-07-31 18:36:37,22,0
 2019-07-31 18:36:38,24,2
 2019-07-31 18:36:40,25,1
 2019-07-31 18:36:41,25,0
 2019-07-31 18:36:42,24,0
 2019-07-31 18:36:43,23,0
 2019-07-31 18:36:44,23,0
 2019-07-31 18:36:44,23,0
 2019-07-31 18:36:45,22,0
 2019-07-31 18:36:47,22,0
 2019-07-31 18:36:48,22,0
 2019-07-31 18:36:49,22,0
 2019-07-31 18:36:50,23,2
 2019-07-31 18:36:51,21,0
 2019-07-31 18:36:52,21,0
 2019-07-31 18:36:52,20,0
 2019-07-31 18:36:53,20,1
 2019-07-31 18:36:55,20,0
 2019-07-31 18:36:56,19,0
 2019-07-31 18:36:57,20,1
 2019-07-31 18:36:58,19,0
 2019-07-31 18:36:59,19,1
 2019-07-31 18:36:59,19,0
 2019-07-31 18:37:00,18,0
 2019-07-31 18:37:02,17,0
 2019-07-31 18:37:03,17,0
 2019-07-31 18:37:04,17,0
 2019-07-31 18:37:05,18,1
 2019-07-31 18:37:06,18,1
 2019-07-31 18:37:07,18,0
 2019-07-31 18:37:07,18,0
 2019-07-31 18:37:09,17,0
 2019-07-31 18:37:10,18,1
 2019-07-31 18:37:11,18,0
 2019-07-31 18:37:12,18,0
 2019-07-31 18:37:13,18,0
 2019-07-31 18:37:14,17,0
 2019-07-31 18:37:14,16,1
 2019-07-31 18:37:15,16,0
 2019-07-31 18:37:17,16,0
 2019-07-31 18:37:18,17,1
 2019-07-31 18:37:19,17,0
